Acropora vermiculata,Acropora vermiculata,Acroporidae,Acroporidae,complex
Acropora verweyi,Acropora verweyi,Acroporidae,Acroporidae,complex
Acropora walindii,Acropora walindii,Acroporidae,Acroporidae,complex
Acropora wallacae,Acropora wallacae,Acroporidae,Acroporidae,complex
Acropora willisae,Acropora willisae,Acroporidae,Acroporidae,complex
Acropora yongei,Acropora yongei,Acroporidae,Acroporidae,complex
Agaricia agaricites,Agaricia agaricites,Agariciidae,Agariciidae,complex
Agaricia fragilis,Agaricia fragilis,Agariciidae,Agariciidae,complex
Agaricia grahamae,Agaricia grahamae,Agariciidae,Agariciidae,complex
Agaricia humilis,Agaricia humilis,Agariciidae,Agariciidae,complex
Agaricia lamarcki,Agaricia lamarcki,Agariciidae,Agariciidae,complex
Agaricia tenuifolia,Agaricia tenuifolia,Agariciidae,Agariciidae,complex
Agaricia undata,Agaricia undata,Agariciidae,Agariciidae,complex
Alatotrochus rubescens,Alatotrochus rubescens,Turbinoliidae,Turbinoliidae,complex
Alveopora allingi,Alveopora allingi,Poritidae,Acroporidae,complex
Alveopora catalai,Alveopora catalai,Poritidae,Acroporidae,complex
Alveopora daedalea,Alveopora daedalea,Poritidae,Acroporidae,complex
Alveopora excelsa,Alveopora excelsa,Poritidae,Acroporidae,complex
Alveopora fenestrata,Alveopora fenestrata,Poritidae,Acroporidae,complex
Alveopora gigas,Alveopora gigas,Poritidae,Acroporidae,complex
Alveopora japonica,Alveopora japonica,Poritidae,Acroporidae,complex
Alveopora marionensis,Alveopora marionensis,Poritidae,Acroporidae,complex
Alveopora minuta,Alveopora minuta,Poritidae,Acroporidae,complex
Alveopora ocellata,Alveopora ocellata,Poritidae,Acroporidae,complex
Alveopora spongiosa,Alveopora spongiosa,Poritidae,Acroporidae,complex
Alveopora tizardi,Alveopora tizardi,Poritidae,Acroporidae,complex
Alveopora verrilliana,Alveopora verrilliana,Poritidae,Acroporidae,complex
Alveopora viridis,Alveopora viridis,Poritidae,Acroporidae,complex
Anacropora forbesi,Anacropora forbesi,Acroporidae,Acroporidae,complex
Anacropora matthai,Anacropora matthai,Acroporidae,Acroporidae,complex
Anacropora pillai,Anacropora pillai,Acroporidae,Acroporidae,complex
Anacropora puertogalerae,Anacropora puertogalerae,Acroporidae,Acroporidae,complex
Anacropora reticulata,Anacropora reticulata,Acroporidae,Acroporidae,complex
Anacropora spinosa,Anacropora spinosa,Acroporidae,Acroporidae,complex
Anacropora spumosa,Anacropora spumosa,Acroporidae,Acroporidae,complex
Anomastraea irregularis,Anomastraea irregularis,Siderastreidae,Coscinaraeidae,robust
Anomocora carinata,Anomocora carinata,Caryophylliidae,Caryophylliidae,robust
Anomocora fecunda,Anomocora fecunda,Caryophylliidae,Caryophylliidae,robust
Anthemiphyllia dentata,Anthemiphyllia dentata,Anthemiphylliidae,Anthemiphyllidae,complex
Anthemiphyllia frustum,Anthemiphyllia frustum,Anthemiphylliidae,Anthemiphyllidae,complex
Anthemiphyllia macrolobata,Anthemiphyllia macrolobata,Anthemiphylliidae,Anthemiphyllidae,complex
Anthemiphyllia multidentata,Anthemiphyllia multidentata,Anthemiphylliidae,Anthemiphyllidae,complex
Anthemiphyllia pacifica,Anthemiphyllia pacifica,Anthemiphylliidae,Anthemiphyllidae,complex
Anthemiphyllia pateracostata,Anthemiphyllia pateracostata,Anthemiphylliidae,Anthemiphyllidae,complex
Anthemiphyllia paterapatera,Anthemiphyllia paterapatera,Anthemiphylliidae,Anthemiphyllidae,complex
Anthemiphyllia spinifera,Anthemiphyllia spinifera,Anthemiphylliidae,Anthemiphyllidae,complex
Archohelia rediviva,Petrophyllia rediviva,Oculinidae,Oculinidae,robust
Asterosmilia gigas,Anomocora gigas,Caryophylliidae,Caryophylliidae,robust
Asterosmilia marchadi,Anomocora marchadi,Caryophylliidae,Caryophylliidae,robust
Asterosmilia prolifera,Anomocora prolifera,Caryophylliidae,Caryophylliidae,robust
Astrangia atrata,Astrangia atrata,Rhizangiidae,Rhizangiidae,robust
Astrangia browni,Astrangia browni,Rhizangiidae,Rhizangiidae,robust
Astrangia californica,Astrangia californica,Rhizangiidae,Rhizangiidae,robust
Astrangia conferta,Astrangia conferta,Rhizangiidae,Rhizangiidae,robust
Astrangia costata,Astrangia costata,Rhizangiidae,Rhizangiidae,robust
Astrangia dentata,Astrangia dentata,Rhizangiidae,Rhizangiidae,robust
Astrangia equatorialis,Astrangia equatorialis,Rhizangiidae,Rhizangiidae,robust
Astrangia haimei,Astrangia haimei,Rhizangiidae,Rhizangiidae,robust
Astrangia howardi,Astrangia howardi,Rhizangiidae,Rhizangiidae,robust
Astrangia lajollaensis ,Astrangia lajollaensis ,Rhizangiidae,Rhizangiidae,robust
Astrangia macrodentata,Astrangia macrodentata,Rhizangiidae,Rhizangiidae,robust
Astrangia mercatoris,Astrangia mercatoris,Rhizangiidae,Rhizangiidae,robust
Astrangia poculata,Astrangia poculata,Rhizangiidae,Rhizangiidae,robust
Astrangia rathbuni,Astrangia rathbuni,Rhizangiidae,Rhizangiidae,robust
Astrangia solitaria,Astrangia solitaria,Rhizangiidae,Rhizangiidae,robust
Astrangia woodsi,Astrangia woodsi,Rhizangiidae,Rhizangiidae,robust
Astreopora cucullata,Astreopora cucullata,Acroporidae,Acroporidae,complex
Astreopora eliptica,Astreopora eliptica,Acroporidae,Acroporidae,complex
Astreopora expansa,Astreopora expansa,Acroporidae,Acroporidae,complex
Astreopora explanata,Astreopora explanata,Acroporidae,Acroporidae,complex
Astreopora gracilis,Astreopora gracilis,Acroporidae,Acroporidae,complex
Astreopora incrustans,Astreopora incrustans,Acroporidae,Acroporidae,complex
Astreopora lambertsi,Astreopora lambertsi,Acroporidae,Acroporidae,complex
Astreopora listeri,Astreopora listeri,Acroporidae,Acroporidae,complex
Astreopora macrostoma,Astreopora macrostoma,Acroporidae,Acroporidae,complex
Astreopora moretonensis,Astreopora moretonensis,Acroporidae,Acroporidae,complex
Astreopora myriophthalma,Astreopora myriophthalma,Acroporidae,Acroporidae,complex
Astreopora ocellata,Astreopora ocellata,Acroporidae,Acroporidae,complex
