"","species","family","skeletaldensityMin","skeletaldensityMax","growthrateMin","growthrateMax","corallitewidthMin","corallitewidthMax","colonydiameterMin","colonydiameterMax","polypfecundityMin","polypfecundityMax","eggsizeMin","eggsizeMax","photosynthesisMin","photosynthesisMax","surfaceareaMin","surfaceareaMax","BRI"
"117","Catalaphyllia jardinei","Merulinidae",NA,NA,NA,NA,12.3,21.3,100,100,NA,NA,NA,NA,NA,NA,NA,NA,"2.75"
"118","Caulastraea curvata","Merulinidae",NA,NA,NA,NA,7.8,13.9,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Caulastraea echinulata","Merulinidae",NA,NA,NA,NA,9.4,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Caulastraea furcata","Merulinidae",NA,NA,NA,NA,7.2,12.8,500,500,NA,NA,NA,NA,NA,NA,NA,NA,"4.55"
"121","Caulastraea tumida","Merulinidae",NA,NA,NA,NA,15,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Coeloseris mayeri","Agariciidae",NA,NA,NA,NA,8.1,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35.96"
"123","Coscinaraea columna","Coscinaraeidae",NA,NA,NA,NA,3.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.51"
"124","Coscinaraea crassa","Coscinaraeidae",NA,NA,NA,NA,7.1,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Coscinaraea exesa","Coscinaraeidae",NA,NA,NA,NA,2.6,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8"
"126","Cycloseris wellsi","Fungiidae",NA,NA,NA,NA,2,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Ctenactis albitentaculata","Fungiidae",NA,NA,NA,NA,NA,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Ctenactis crassa","Fungiidae",NA,NA,NA,NA,NA,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Ctenactis echinata","Fungiidae",NA,NA,NA,NA,NA,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"130","Cycloseris costulata","Fungiidae",NA,NA,NA,NA,70,76,7.6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Cycloseris cyclolites","Fungiidae",NA,NA,NA,NA,33.3,35.7,4,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Cycloseris tenuis","Fungiidae",NA,NA,NA,NA,42.9,46.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Cycloseris fragilis","Fungiidae",NA,NA,NA,NA,NA,48,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Cycloseris sinensis","Fungiidae",NA,NA,NA,NA,53.3,54.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Cycloseris somervillei","Fungiidae",NA,NA,NA,NA,102.9,135.2,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Cycloseris tenuis","Fungiidae",NA,NA,NA,NA,42.9,46.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Cycloseris vaughani","Fungiidae",NA,NA,NA,NA,NA,58.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Cynarina lacrymalis","Lobophylliidae",NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Cyphastrea agassizi","Merulinidae",NA,NA,NA,NA,1.4,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
