"","species_COTW","species_old","species_new","family_old","family_new","major_clade"
"274","Merulina ampliata","Merulina ampliata","Merulina ampliata","Merulinidae","Merulinidae","robust"
"275","Merulina scabricula","Merulina scabricula","Merulina scabricula","Merulinidae","Merulinidae","robust"
"276","Micromussa amakusensis","Micromussa amakusensis","Micromussa amakusensis","Mussidae","Lobophylliidae","robust"
"277","Montipora aequituberculata","Montipora aequituberculata","Montipora aequituberculata","Acroporidae","Acroporidae","complex"
"278","Montipora angulata","Montipora angulata","Montipora angulata","Acroporidae","Acroporidae","complex"
"279","Montipora australiensis","Montipora australiensis","Montipora australiensis","Acroporidae","Acroporidae","complex"
"280","Montipora caliculata","Montipora caliculata","Montipora caliculata","Acroporidae","Acroporidae","complex"
"281","Montipora capricornis","Montipora capricornis","Montipora capricornis","Acroporidae","Acroporidae","complex"
"282","Montipora cebuensis","Montipora cebuensis","Montipora cebuensis","Acroporidae","Acroporidae","complex"
"283","Montipora confusa","Montipora confusa","Montipora confusa","Acroporidae","Acroporidae","complex"
"284","Montipora corbettensis","Montipora corbettensis","Montipora corbettensis","Acroporidae","Acroporidae","complex"
"285","Montipora crassituberculata","Montipora crassituberculata","Montipora crassituberculata","Acroporidae","Acroporidae","complex"
"286","Montipora danae","Montipora danae","Montipora danae","Acroporidae","Acroporidae","complex"
"287","Montipora digitata","Montipora digitata","Montipora digitata","Acroporidae","Acroporidae","complex"
"288","Montipora efflorescens","Montipora efflorescens","Montipora efflorescens","Acroporidae","Acroporidae","complex"
"289","Montipora floweri","Montipora floweri","Montipora floweri","Acroporidae","Acroporidae","complex"
"290","Montipora foliosa","Montipora foliosa","Montipora foliosa","Acroporidae","Acroporidae","complex"
"291","Montipora foveolata","Montipora foveolata","Montipora foveolata","Acroporidae","Acroporidae","complex"
"292","Montipora grisea","Montipora grisea","Montipora grisea","Acroporidae","Acroporidae","complex"
"293","Montipora hispida","Montipora hispida","Montipora hispida","Acroporidae","Acroporidae","complex"
"294","Montipora hodgsoni","Montipora hodgsoni","Montipora hodgsoni","Acroporidae","Acroporidae","complex"
"295","Montipora hoffmeisteri","Montipora hoffmeisteri","Montipora hoffmeisteri","Acroporidae","Acroporidae","complex"
"296","Montipora incrassata","Montipora incrassata","Montipora incrassata","Acroporidae","Acroporidae","complex"
"297","Montipora informis","Montipora informis","Montipora informis","Acroporidae","Acroporidae","complex"
"298","Montipora millepora","Montipora millepora","Montipora millepora","Acroporidae","Acroporidae","complex"
"299","Montipora mollis","Montipora mollis","Montipora mollis","Acroporidae","Acroporidae","complex"
"300","Montipora monasteriata","Montipora monasteriata","Montipora monasteriata","Acroporidae","Acroporidae","complex"
"301","Montipora nodosa","Montipora nodosa","Montipora nodosa","Acroporidae","Acroporidae","complex"
"302","Montipora palawanensis","Montipora palawanensis","Montipora palawanensis","Acroporidae","Acroporidae","complex"
"303","Montipora peltiformis","Montipora peltiformis","Montipora peltiformis","Acroporidae","Acroporidae","complex"
"304","Montipora spongodes","Montipora spongodes","Montipora spongodes","Acroporidae","Acroporidae","complex"
"305","Montipora spumosa","Montipora spumosa","Montipora spumosa","Acroporidae","Acroporidae","complex"
"306","Montipora stellata","Montipora stellata","Montipora stellata","Acroporidae","Acroporidae","complex"
"307","Montipora tuberculosa","Montipora tuberculosa","Montipora tuberculosa","Acroporidae","Acroporidae","complex"
"308","Montipora turgescens","Montipora turgescens","Montipora turgescens","Acroporidae","Acroporidae","complex"
"309","Montipora turtlensis","Montipora turtlensis","Montipora turtlensis","Acroporidae","Acroporidae","complex"
"310","Montipora undata","Montipora undata","Montipora undata","Acroporidae","Acroporidae","complex"
"311","Montipora venosa","Montipora venosa","Montipora venosa","Acroporidae","Acroporidae","complex"
"312","Montipora verrucosa","Montipora verrucosa","Montipora verrucosa","Acroporidae","Acroporidae","complex"
"313","Montipora verruculosa","Montipora verruculosa","Montipora verruculosa","Acroporidae","Acroporidae","complex"
"314","Moseleya latistellata","Moseleya latistellata","Moseleya latistellata","Faviidae","Lobophylliidae","robust"
"315","Mycedium elephantotus","Mycedium elephantotus","Mycedium elephantotus","Pectiniidae","Merulinidae","robust"
"316","Mycedium mancaoi","Mycedium mancaoi","Mycedium mancaoi","Pectiniidae","Merulinidae","robust"
"317","Mycedium robokaki","Mycedium robokaki","Mycedium robokaki","Pectiniidae","Merulinidae","robust"
"318","Oulophyllia bennettae","Oulophyllia bennettae","Oulophyllia bennettae","Faviidae","Merulinidae","robust"
"319","Oulophyllia crispa","Oulophyllia crispa","Oulophyllia crispa","Faviidae","Merulinidae","robust"
"320","Oulophyllia levis","Oulophyllia levis","Oulophyllia levis","Faviidae","Merulinidae","robust"
"321","Oxypora crassispinosa","Oxypora crassispinosa","Oxypora crassispinosa","Pectiniidae","Lobophylliidae","robust"
"322","Oxypora glabra","Oxypora glabra","Oxypora glabra","Pectiniidae","Lobophylliidae","robust"
"323","Oxypora lacera","Oxypora lacera","Oxypora lacera","Pectiniidae","Lobophylliidae","robust"
"324","Pachyseris gemmae","Pachyseris gemmae","Pachyseris gemmae","Agariciidae","Pachyseridae","complex"
"325","Pachyseris rugosa","Pachyseris rugosa","Pachyseris rugosa","Agariciidae","Pachyseridae","complex"
"326","Pachyseris speciosa","Pachyseris speciosa","Pachyseris speciosa","Agariciidae","Pachyseridae","complex"
"327","Palauastrea ramosa","Palauastrea ramosa","Palauastrea ramosa","Astrocoeniidae","Pocilloporidae","robust"
"328","Paraclavarina triangularis","Paraclavarina triangularis","Merulina triangularis","Merulinidae","Merulinidae","robust"
"329","Parascolymia australis","NA","NA","NA","NA","NA"
"330","Parascolymia vitiensis","NA","NA","NA","NA","NA"
"331","Pavona cactus","Pavona cactus","Pavona cactus","Agariciidae","Agariciidae","complex"
"332","Pavona clavus","Pavona clavus","Pavona clavus","Agariciidae","Agariciidae","complex"
"333","Pavona decussata","Pavona decussata","Pavona decussata","Agariciidae","Agariciidae","complex"
"334","Pavona duerdeni","Pavona duerdeni","Pavona duerdeni","Agariciidae","Agariciidae","complex"
"335","Pavona explanulata","Pavona explanulata","Pavona explanulata","Agariciidae","Agariciidae","complex"
"336","Pavona maldivensis","Pavona maldivensis","Pavona maldivensis","Agariciidae","Agariciidae","complex"
"337","Pavona minuta","Pavona minuta","Pavona minuta","Agariciidae","Agariciidae","complex"
"338","Pavona varians","Pavona varians","Pavona varians","Agariciidae","Agariciidae","complex"
"339","Pavona venosa","Pavona venosa","Pavona venosa","Agariciidae","Agariciidae","complex"
"340","Pectinia alcicornis","Pectinia alcicornis","Pectinia alcicornis","Pectiniidae","Merulinidae","robust"
"341","Pectinia lactuca","Pectinia lactuca","Pectinia lactuca","Pectiniidae","Merulinidae","robust"
"342","Pectinia maxima","Pectinia maxima","Pectinia maxima","Pectiniidae","Merulinidae","robust"
"343","Pectinia paeonia","Pectinia paeonia","Pectinia paeonia","Pectiniidae","Merulinidae","robust"
"344","Phymastrea colemani","NA","NA","NA","NA","NA"
"345","Phymastrea magnistellata","NA","NA","NA","NA","NA"
"346","Phymastrea valenciennesii","NA","NA","NA","NA","NA"
"347","Physogyra lichtensteini","Physogyra exerta","Physogyra lichtensteini","Euphylliidae","Plesiastreidae","robust"
"348","Platygyra acuta","Platygyra acuta","Platygyra acuta","Faviidae","Merulinidae","robust"
"349","Platygyra contorta","Platygyra contorta","Platygyra contorta","Faviidae","Merulinidae","robust"
"350","Platygyra daedalea","Platygyra daedalea","Platygyra daedalea","Faviidae","Merulinidae","robust"
"351","Platygyra lamellina","Platygyra lamellina","Platygyra lamellina","Faviidae","Merulinidae","robust"
"352","Platygyra pini","Platygyra pini","Platygyra pini","Faviidae","Merulinidae","robust"
"353","Platygyra ryukyuensis","Platygyra ryukyuensis","Platygyra ryukyuensis","Faviidae","Merulinidae","robust"
"354","Platygyra sinensis","Platygyra sinensis","Platygyra sinensis","Faviidae","Merulinidae","robust"
"355","Platygyra verweyi","Platygyra verweyi","Platygyra verweyi","Faviidae","Merulinidae","robust"
"356","Platygyra yaeyamaensis","Platygyra yaeyamaensis","Platygyra yaeyamaensis","Faviidae","Merulinidae","robust"
"357","Plerogyra sinuosa","Plerogyra sinuosa","Plerogyra sinuosa","Euphylliidae","Plesiastreidae","robust"
"358","Plesiastrea versipora","Plesiastrea versipora","Plesiastrea versipora","Faviidae","Plesiastreidae","robust"
"359","Pocillopora acuta","NA","NA","NA","NA","NA"
"360","Pocillopora ankeli","Pocillopora ankeli","Pocillopora ankeli","Pocilloporidae","Pocilloporidae","robust"
"361","Pocillopora brevicornis","Pocillopora setchelli","Pocillopora brevicornis","Pocilloporidae","Pocilloporidae","robust"
"362","Pocillopora damicornis","Pocillopora damicornis","Pocillopora damicornis","Pocilloporidae","Pocilloporidae","robust"
"363","Pocillopora danae","Pocillopora danae","Pocillopora danae","Pocilloporidae","Pocilloporidae","robust"
"364","Pocillopora eydouxi","Pocillopora eydouxi","Pocillopora eydouxi","Pocilloporidae","Pocilloporidae","robust"
"365","Pocillopora kelleheri","Pocillopora kelleheri","Pocillopora kelleheri","Pocilloporidae","Pocilloporidae","robust"
"366","Pocillopora meandrina","Pocillopora meandrina","Pocillopora meandrina","Pocilloporidae","Pocilloporidae","robust"
"367","Pocillopora verrucosa","Pocillopora verrucosa","Pocillopora verrucosa","Pocilloporidae","Pocilloporidae","robust"
"368","Pocillopora woodjonesi","Pocillopora woodjonesi","Pocillopora woodjonesi","Pocilloporidae","Pocilloporidae","robust"
"369","Podabacia crustacea","Podabacia crustacea","Podabacia crustacea","Fungiidae","Fungiidae","robust"
"370","Podabacia motuporensis","Podabacia motuporensis","Podabacia motuporensis","Fungiidae","Fungiidae","robust"
"371","Polyphyllia talpina","Polyphyllia talpina","Polyphyllia talpina","Fungiidae","Fungiidae","robust"
"372","Porites annae","Porites annae","Porites annae","Poritidae","Poritidae","complex"
"373","Porites australiensis","Porites australiensis","Porites australiensis","Poritidae","Poritidae","complex"
"374","Porites cylindrica","Porites andrewsi","Porites cylindrica","Poritidae","Poritidae","complex"
"375","Porites deformis","Porites deformis","Porites deformis","Poritidae","Poritidae","complex"
"376","Porites densa","Porites densa","Porites densa","Poritidae","Poritidae","complex"
"377","Porites evermanni","Porites evermanni","Porites evermanni","Poritidae","Poritidae","complex"
"378","Porites heronensis","Porites heronensis","Porites heronensis","Poritidae","Poritidae","complex"
"379","Porites lichen","Porites lichen","Porites lichen","Poritidae","Poritidae","complex"
"380","Porites lobata","Porites lobata","Porites lobata","Poritidae","Poritidae","complex"
"381","Porites lutea","Porites lutea","Porites lutea","Poritidae","Poritidae","complex"
"382","Porites mayeri","Porites mayeri","Porites mayeri","Poritidae","Poritidae","complex"
"383","Porites monticulosa","Porites monticulosa","Porites monticulosa","Poritidae","Poritidae","complex"
"384","Porites murrayensis","Porites murrayensis","Porites murrayensis","Poritidae","Poritidae","complex"
"385","Porites myrmidonensis","Porites myrmidonensis","Porites myrmidonensis","Poritidae","Poritidae","complex"
"386","Porites nigrescens","Porites nigrescens","Porites nigrescens","Poritidae","Poritidae","complex"
"387","Porites rus","Porites rus","Porites rus","Poritidae","Poritidae","complex"
"388","Porites solida","Porites solida","Porites solida","Poritidae","Poritidae","complex"
"389","Porites stephensoni","Porites stephensoni","Porites stephensoni","Poritidae","Poritidae","complex"
"390","Porites vaughani","Porites vaughani","Porites vaughani","Poritidae","Poritidae","complex"
"391","Psammocora albopicta","Psammocora albopicta","Psammocora albopicta","Siderastreidae","Psammocoridae","robust"
"392","Psammocora contigua","Psammocora contigua","Psammocora contigua","Siderastreidae","Psammocoridae","robust"
"393","Psammocora digitata","Psammocora digitata","Psammocora digitata","Siderastreidae","Psammocoridae","robust"
"394","Psammocora explanulata","Psammocora explanulata","Cycloseris explanulata","Siderastreidae","Fungiidae","robust"
"395","Psammocora haimiana","Psammocora haimiana","Psammocora haimiana","Siderastreidae","Psammocoridae","robust"
"396","Psammocora nierstraszi","Psammocora nierstraszi","Psammocora nierstraszi","Siderastreidae","Psammocoridae","robust"
"397","Psammocora obtusangula","Psammocora obtusangula","Psammocora contigua","Siderastreidae","Psammocoridae","robust"
"398","Psammocora profundacella","Psammocora profundacella","Psammocora profundacella","Siderastreidae","Psammocoridae","robust"
"399","Pseudosiderastrea tayamai","Pseudosiderastrea tayamai","Pseudosiderastrea tayamai","Siderastreidae","Siderastreidae","complex"
"400","Sandalolitha boucheti","NA","NA","NA","NA","NA"
"401","Sandalolitha dentata","Sandalolitha dentata","Sandalolitha dentata","Fungiidae","Fungiidae","robust"
"402","Sandalolitha robusta","Sandalolitha robusta","Sandalolitha robusta","Fungiidae","Fungiidae","robust"
"403","Scapophyllia cylindrica","Scapophyllia cylindrica","Scapophyllia cylindrica","Merulinidae","Merulinidae","robust"
"404","Seriatopora caliendrum","Seriatopora caliendrum","Seriatopora caliendrum","Pocilloporidae","Pocilloporidae","robust"
"405","Seriatopora hystrix","Seriatopora hystrix","Seriatopora hystrix","Pocilloporidae","Pocilloporidae","robust"
"406","Stylaraea punctata","Stylaraea punctata","Stylaraea punctata","Poritidae","Poritidae","complex"
"407","Stylocoeniella armata","Stylocoeniella armata","Stylocoeniella armata","Astrocoeniidae","Pocilloporidae","robust"
"408","Stylocoeniella guentheri","Stylocoeniella guentheri","Stylocoeniella guentheri","Astrocoeniidae","Pocilloporidae","robust"
"409","Stylophora pistillata","Stylophora pistillata","Stylophora pistillata","Pocilloporidae","Pocilloporidae","robust"
"410","Symphyllia agaricia","Symphyllia agaricia","Lobophyllia agaricia","Mussidae","Lobophylliidae","robust"
"411","Symphyllia radians","Symphyllia radians","Lobophyllia radians","Mussidae","Lobophylliidae","robust"
"412","Symphyllia recta","Symphyllia recta","Lobophyllia recta","Mussidae","Lobophylliidae","robust"
"413","Symphyllia valenciennesii","Symphyllia valenciennesii","Lobophyllia valenciennesii","Mussidae","Lobophylliidae","robust"
"414","Trachyphyllia geoffroyi","Trachyphyllia geoffroyi","Trachyphyllia geoffroyi","Trachyphylliidae","Merulinidae","robust"
"415","Turbinaria bifrons","Turbinaria bifrons","Turbinaria bifrons","Dendrophylliidae","Dendrophylliidae","complex"
"416","Turbinaria conspicua","Turbinaria conspicua","Turbinaria conspicua","Dendrophylliidae","Dendrophylliidae","complex"
"417","Turbinaria frondens","Turbinaria frondens","Turbinaria frondens","Dendrophylliidae","Dendrophylliidae","complex"
"418","Turbinaria heronensis","Turbinaria heronensis","Turbinaria heronensis","Dendrophylliidae","Dendrophylliidae","complex"
"419","Turbinaria irregularis","Turbinaria irregularis","Turbinaria irregularis","Dendrophylliidae","Dendrophylliidae","complex"
"420","Turbinaria mesenterina","Turbinaria mesenterina","Turbinaria mesenterina","Dendrophylliidae","Dendrophylliidae","complex"
"421","Turbinaria patula","Turbinaria patula","Turbinaria patula","Dendrophylliidae","Dendrophylliidae","complex"
"422","Turbinaria peltata","Turbinaria peltata","Duncanopsammia peltata","Dendrophylliidae","Dendrophylliidae","complex"
"423","Turbinaria radicalis","Turbinaria radicalis","Turbinaria radicalis","Dendrophylliidae","Dendrophylliidae","complex"
"424","Turbinaria reniformis","Turbinaria reniformis","Turbinaria reniformis","Dendrophylliidae","Dendrophylliidae","complex"
"425","Turbinaria stellulata","Turbinaria stellulata","Turbinaria stellulata","Dendrophylliidae","Dendrophylliidae","complex"
"426","Zoopilus echinatus","Zoopilus echinatus","Zoopilus echinatus","Fungiidae","Fungiidae","robust"
