"","species_COTW","species_old","species_new","family_old","family_new","major_clade"
"49","Acropora lutkeni","Acropora lutkeni","Acropora lutkeni","Acroporidae","Acroporidae","complex"
"50","Acropora microclados","Acropora microclados","Acropora microclados","Acroporidae","Acroporidae","complex"
"51","Acropora microphthalma","Acropora microphthalma","Acropora microphthalma","Acroporidae","Acroporidae","complex"
"52","Acropora millepora","Acropora millepora","Acropora millepora","Acroporidae","Acroporidae","complex"
"53","Acropora monticulosa","Acropora monticulosa","Acropora monticulosa","Acroporidae","Acroporidae","complex"
"54","Acropora multiacuta","Acropora multiacuta","Acropora multiacuta","Acroporidae","Acroporidae","complex"
"55","Acropora muricata","Acropora muricata","Acropora muricata","Acroporidae","Acroporidae","complex"
"56","Acropora nana","Acropora nana","Acropora nana","Acroporidae","Acroporidae","complex"
"57","Acropora nasuta","Acropora nasuta","Acropora nasuta","Acroporidae","Acroporidae","complex"
"58","Acropora palmerae","Acropora palmerae","Acropora palmerae","Acroporidae","Acroporidae","complex"
"59","Acropora paniculata","Acropora paniculata","Acropora paniculata","Acroporidae","Acroporidae","complex"
"60","Acropora papillare","Acropora papillare","Acropora papillare","Acroporidae","Acroporidae","complex"
"61","Acropora polystoma","Acropora polystoma","Acropora polystoma","Acroporidae","Acroporidae","complex"
"62","Acropora pulchra","Acropora pulchra","Acropora pulchra","Acroporidae","Acroporidae","complex"
"63","Acropora robusta","Acropora robusta","Acropora robusta","Acroporidae","Acroporidae","complex"
"64","Acropora rosaria","Acropora rosaria","Acropora rosaria","Acroporidae","Acroporidae","complex"
"65","Acropora samoensis","Acropora samoensis","Acropora samoensis","Acroporidae","Acroporidae","complex"
"66","Acropora sarmentosa","Acropora sarmentosa","Acropora sarmentosa","Acroporidae","Acroporidae","complex"
"67","Acropora secale","Acropora secale","Acropora secale","Acroporidae","Acroporidae","complex"
"68","Acropora selago","Acropora selago","Acropora selago","Acroporidae","Acroporidae","complex"
"69","Acropora solitaryensis","Acropora solitaryensis","Acropora solitaryensis","Acroporidae","Acroporidae","complex"
"70","Acropora spathulata","Acropora spathulata","Acropora spathulata","Acroporidae","Acroporidae","complex"
"71","Acropora speciosa","Acropora speciosa","Acropora speciosa","Acroporidae","Acroporidae","complex"
"72","Acropora spicifera","Acropora spicifera","Acropora spicifera","Acroporidae","Acroporidae","complex"
"73","Acropora subglabra","Acropora subglabra","Acropora subglabra","Acroporidae","Acroporidae","complex"
"74","Acropora subulata","Acropora subulata","Acropora subulata","Acroporidae","Acroporidae","complex"
"75","Acropora tenella","Acropora tenella","Acropora tenella","Acroporidae","Acroporidae","complex"
"76","Acropora tenuis","Acropora tenuis","Acropora tenuis","Acroporidae","Acroporidae","complex"
"77","Acropora torihalimeda","Acropora torihalimeda","Acropora torihalimeda","Acroporidae","Acroporidae","complex"
"78","Acropora torresiana","Acropora torresiana","Acropora torresiana","Acroporidae","Acroporidae","complex"
"79","Acropora tortuosa","Acropora tortuosa","Acropora tortuosa","Acroporidae","Acroporidae","complex"
"80","Acropora valenciennesi","Acropora valenciennesi","Acropora valenciennesi","Acroporidae","Acroporidae","complex"
"81","Acropora valida","Acropora valida","Acropora valida","Acroporidae","Acroporidae","complex"
"82","Acropora vaughani","Acropora vaughani","Acropora vaughani","Acroporidae","Acroporidae","complex"
"83","Acropora verweyi","Acropora verweyi","Acropora verweyi","Acroporidae","Acroporidae","complex"
"84","Acropora wallacae","Acropora wallacae","Acropora wallacae","Acroporidae","Acroporidae","complex"
"85","Acropora willisae","Acropora willisae","Acropora willisae","Acroporidae","Acroporidae","complex"
"86","Acropora yongei","Acropora yongei","Acropora yongei","Acroporidae","Acroporidae","complex"
"87","Alveopora allingi","Alveopora allingi","Alveopora allingi","Poritidae","Acroporidae","complex"
"88","Alveopora catalai","Alveopora catalai","Alveopora catalai","Poritidae","Acroporidae","complex"
"89","Alveopora fenestrata","Alveopora fenestrata","Alveopora fenestrata","Poritidae","Acroporidae","complex"
"90","Alveopora gigas","Alveopora gigas","Alveopora gigas","Poritidae","Acroporidae","complex"
"91","Alveopora marionensis","Alveopora marionensis","Alveopora marionensis","Poritidae","Acroporidae","complex"
"92","Alveopora spongiosa","Alveopora spongiosa","Alveopora spongiosa","Poritidae","Acroporidae","complex"
"93","Alveopora tizardi","Alveopora tizardi","Alveopora tizardi","Poritidae","Acroporidae","complex"
"94","Alveopora verrilliana","Alveopora verrilliana","Alveopora verrilliana","Poritidae","Acroporidae","complex"
"95","Anacropora forbesi","Anacropora forbesi","Anacropora forbesi","Acroporidae","Acroporidae","complex"
"96","Anacropora matthai","Anacropora matthai","Anacropora matthai","Acroporidae","Acroporidae","complex"
"97","Anacropora puertogalerae","Anacropora puertogalerae","Anacropora puertogalerae","Acroporidae","Acroporidae","complex"
"98","Anacropora reticulata","Anacropora reticulata","Anacropora reticulata","Acroporidae","Acroporidae","complex"
"99","Astrea annuligera","Montastrea annuligera","Astrea annuligera","Faviidae","Merulinidae","robust"
"100","Astrea curta","Montastrea curta","Astrea curta","Faviidae","Merulinidae","robust"
"101","Astreopora cucullata","Astreopora cucullata","Astreopora cucullata","Acroporidae","Acroporidae","complex"
